"correlation_high"	"Transcript_ID"	"Locus_ID"	"Description"	"RAP.DB.Gene.Symbol.Synonym.s."	"RAP.DB.Gene.Name.Synonym.s."	"CGSNL.Gene.Symbol"	"CGSNL.Gene.Name"	"Oryzabase.Gene.Symbol.Synonym.s."	"Oryzabase.Gene.Name.Synonym.s."	"GO"	"InterPro"	"Transcript.evidence"	"ORF.evidence"	"Curation.Date"	"Literature.PMID"	"FLcDNA.clone.ID"	"Oryzabase.Trait.Gene.ID"	"A.thaliana_gene_id"	"Reciprocal_flag"	"Type"	"Short_description"	"Curator_summary"	"Computational_description"	"gene.alias"	"Note"	"symbol"	"Alias"	"full_name"	"computational_description"	"Dbxref"	"locus_type"	"curator_summary"	"description"	"nochangenat.description"	"NormalizationGroup"
-0.53	"Os03t0266100-01"	"Os03g0266100"	"Zinc finger, LIM-type domain containing protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: zinc ion binding (GO:0008270)"	"Zinc finger, LIM-type (IPR001781)"	"AK058507 (DDBJ, Best hit)"	"NP_001147673.1 (RefSeq)"	"-"	"-"	"001-016-G03"	"-"	"AT2G39900.1"	"2"	"protein_coding"	"GATA type zinc finger transcription factor family protein"	"\"Encodes a member of the Arabidopsis LIM proteins: a family of actin bundlers with distinct expression patterns.  WLIM1, WLIM2a, and WLIM2b are widely expressed, whereas PLIM2a, PLIM2b, and PLIM2c are predominantly expressed in pollen. Regulates actin cytoskeleton organization.\""	"\"GATA type zinc finger transcription factor family protein; FUNCTIONS IN: zinc ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, LIM-type (InterPro:IPR001781), Zinc finger, RING-type (InterPro:IPR001841); BEST Arabidopsis thaliana protein match is: GATA type zinc finger transcription factor family protein (TAIR:AT3G55770.5)\""	"WLIM2a"	"GATA type zinc finger transcription factor family protein"	"WLIM2a"	"-"	"WLIM2a"	"GATA type zinc finger transcription factor family protein%3B FUNCTIONS IN: zinc ion binding%3B INVOLVED IN: biological_process unknown%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Zinc finger%2C LIM-type (InterPro:IPR001781)%2C Zinc finger%2C RING-type (InterPro:IPR001841)%3B BEST Arabidopsis thaliana protein match is: GATA type zinc finger transcription factor family protein (TAIR:AT3G55770.5)%3B Has 4468 Blast hits to 3092 proteins in 184 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 3526%3B Fungi - 76%3B Plants - 531%3B Viruses - 0%3B Other Eukaryotes - 335 (source: NCBI BLink)."	"\"PMID:12834400,PMID:14617064,PMID:17573466,PMID:18650403,PMID:18805951,PMID:18775970,PMID:20817848,PMID:24377444,locus:2061171\""	"protein_coding"	"Encodes a member of the Arabidopsis LIM proteins: a family of actin bundlers with distinct expression patterns.  WLIM1%2C WLIM2a%2C and WLIM2b are widely expressed%2C whereas PLIM2a%2C PLIM2b%2C and PLIM2c are predominantly expressed in pollen. Regulates actin cytoskeleton organization."	"-"	"-"	"data"
-0.53	"Os03t0823200-01"	"Os03g0823200"	"Similar to predicted protein."	"-"	"-"	"-"	"-"	"-"	"-"	"Biological Process: transmembrane transport (GO:0055085), Cellular Component: integral to membrane (GO:0016021), Molecular Function: transmembrane transporter activity (GO:0022857)"	"General substrate transporter (IPR005828), Major facilitator superfamily domain, general substrate transporter (IPR016196), Major facilitator superfamily domain (IPR020846)"	"AK072964 (DDBJ, Best hit)"	"NP_200733.2 (RefSeq)"	"-"	"-"	"J023150H09"	"-"	"AT5G59250.1"	"1"	"protein_coding"	"Major facilitator superfamily protein"	"NULL"	"\"Major facilitator superfamily protein; FUNCTIONS IN: carbohydrate transmembrane transporter activity, sugar:hydrogen symporter activity; INVOLVED IN: transport, transmembrane transport; LOCATED IN: chloroplast, membrane, chloroplast envelope; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Sugar transporter, conserved site (InterPro:IPR005829), Major facilitator superfamily (InterPro:IPR020846), General substrate transporter (InterPro:IPR005828), Sugar/inositol transporter (InterPro:IPR003663), Major facilitator superfamily, general substrate transporter (InterPro:IPR016196); BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT5G17010.3)\""	"HP59"	"Major facilitator superfamily protein"	"-"	"-"	"-"	"Major facilitator superfamily protein%3B FUNCTIONS IN: carbohydrate transmembrane transporter activity%2C sugar:hydrogen symporter activity%3B INVOLVED IN: transport%2C transmembrane transport%3B LOCATED IN: chloroplast%2C membrane%2C chloroplast envelope%3B EXPRESSED IN: 21 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Sugar transporter%2C conserved site (InterPro:IPR005829)%2C Major facilitator superfamily (InterPro:IPR020846)%2C General substrate transporter (InterPro:IPR005828)%2C Sugar/inositol transporter (InterPro:IPR003663)%2C Major facilitator superfamily%2C general substrate transporter (InterPro:IPR016196)%3B BEST Arabidopsis thaliana protein match is: Major facilitator superfamily protein (TAIR:AT5G17010.3)%3B Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798%3B Bacteria - 22429%3B Metazoa - 974%3B Fungi - 991%3B Plants - 531%3B Viruses - 0%3B Other Eukaryotes - 9610 (source: NCBI BLink)."	"\"PMID:12766230,PMID:14576160,PMID:15656970,PMID:17284600,PMID:17379213,PMID:17919328,PMID:18650403,PMID:20236521,locus:2168494\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.52	"Os02t0670900-02"	"Os02g0670900"	"Similar to amino acid transport protein."	"-"	"-"	"-"	"-"	"OsANT3"	"aromatic and neutral amino acid transporter 3"	"-"	"Amino acid transporter, transmembrane (IPR013057)"	"AK119517 (DDBJ, Best hit), AK061743 (DDBJ, Best hit), AK064827 (DDBJ, Best hit), AK100650 (DDBJ, Best hit)"	"NP_001149493.1 (RefSeq)"	"-"	"-"	"001-202-C05, 001-038-F02, J013000F07, J023111D06"	"18517"	"AT5G65990.1"	"1"	"protein_coding"	"Transmembrane amino acid transporter family protein"	"NULL"	"\"Transmembrane amino acid transporter family protein; CONTAINS InterPro DOMAIN/s: Amino acid transporter, transmembrane (InterPro:IPR013057); BEST Arabidopsis thaliana protein match is: Transmembrane amino acid transporter family protein (TAIR:AT2G42005.1)\""	"AtAVT3"	"Transmembrane amino acid transporter family protein"	"-"	"-"	"-"	"Transmembrane amino acid transporter family protein%3B CONTAINS InterPro DOMAIN/s: Amino acid transporter%2C transmembrane (InterPro:IPR013057)%3B BEST Arabidopsis thaliana protein match is: Transmembrane amino acid transporter family protein (TAIR:AT2G42005.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink)."	"\"PMID:15235117,PMID:15546358,locus:2156862\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.52	"Os02t0469900-01"	"Os02g0469900"	"AT-rich interaction region domain containing protein."	"-"	"-"	"-"	"-"	"OsARID1, ARID1"	"ARID transcription factor, AT-rich Interaction Domain-containing protein 1"	"Cellular Component: intracellular (GO:0005622), Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515)"	"High mobility group, HMG1/HMG2 (IPR000910), ARID/BRIGHT DNA-binding domain (IPR001606), High mobility group, superfamily (IPR009071)"	"AK065847 (DDBJ, Best hit)"	"NP_001147007.1 (RefSeq)"	"-"	"-"	"J013042H05"	"16197"	"AT1G04880.1"	"1"	"protein_coding"	"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain"	"Encodes a ARID-HMG DNA-binding protein that functions in pollen tube growth through the regulation of gene expression by interacting with the transcription factors AGL66 and AGL104."	"\"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain; FUNCTIONS IN: sequence-specific DNA binding transcription factor activity; INVOLVED IN: regulation of transcription; LOCATED IN: intracellular, nucleus; EXPRESSED IN: 10 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: High mobility group, superfamily (InterPro:IPR009071), High mobility group, HMG1/HMG2 (InterPro:IPR000910), ARID/BRIGHT DNA-binding domain (InterPro:IPR001606); BEST Arabidopsis thaliana protein match is: HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain (TAIR:AT1G76110.1)\""	"\"AtHMGB15,HMGBD15\""	"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein"	"-"	"-"	"-"	"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain%3B FUNCTIONS IN: sequence-specific DNA binding transcription factor activity%3B INVOLVED IN: regulation of transcription%3B LOCATED IN: intracellular%2C nucleus%3B EXPRESSED IN: 10 plant structures%3B EXPRESSED DURING: 7 growth stages%3B CONTAINS InterPro DOMAIN/s: High mobility group%2C superfamily (InterPro:IPR009071)%2C High mobility group%2C HMG1/HMG2 (InterPro:IPR000910)%2C ARID/BRIGHT DNA-binding domain (InterPro:IPR001606)%3B BEST Arabidopsis thaliana protein match is: HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain (TAIR:AT1G76110.1)%3B Has 3445 Blast hits to 3110 proteins in 301 species: Archae - 0%3B Bacteria - 5%3B Metazoa - 2269%3B Fungi - 308%3B Plants - 431%3B Viruses - 3%3B Other Eukaryotes - 429 (source: NCBI BLink)."	"\"PMID:11118137,PMID:18775970,PMID:19291320,PMID:22037706,locus:2010587\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.52	"Os03t0808300-01"	"Os03g0808300"	"Remorin, C-terminal region domain containing protein."	"-"	"-"	"REM4.2"	"REMORIN 4.2"	"OsREM4.2"	"Remorin 4.2, remorin group 4 member 2"	"-"	"Remorin, C-terminal (IPR005516)"	"AK109389 (DDBJ, Best hit)"	"NP_001152428.1 (RefSeq)"	"-"	"-"	"006-211-F02"	"20273"	"AT3G57540.1"	"2"	"protein_coding"	"Remorin family protein"	"NULL"	"\"Remorin family protein; CONTAINS InterPro DOMAIN/s: Remorin, C-terminal (InterPro:IPR005516); BEST Arabidopsis thaliana protein match is: Remorin family protein (TAIR:AT2G41870.1)\""	"\"AtREM4.1,REM4.1\""	"Remorin family protein"	"-"	"\"AtREM4.1,REM4.1,remorin group 4 1\""	"-"	"Remorin family protein%3B CONTAINS InterPro DOMAIN/s: Remorin%2C C-terminal (InterPro:IPR005516)%3B BEST Arabidopsis thaliana protein match is: Remorin family protein (TAIR:AT2G41870.1)%3B Has 443 Blast hits to 443 proteins in 21 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 1%3B Fungi - 1%3B Plants - 440%3B Viruses - 0%3B Other Eukaryotes - 1 (source: NCBI BLink)."	"\"PMID:15047901,PMID:25289013,locus:2103508\""	"protein_coding"	"-"	"-"	"-"	"data"
-0.52	"Os01t0880200-02"	"Os01g0880200"	"Similar to secondary cell wall-related glycosyltransferase family 8."	"-"	"-"	"-"	"-"	"-"	"-"	"Molecular Function: transferase activity, transferring glycosyl groups (GO:0016757)"	"Glycosyl transferase, family 8 (IPR002495)"	"AK067519 (DDBJ, Best hit)"	"B6UDC6 (UniProt)"	"-"	"-"	"J013112C08"	"-"	"AT1G77130.1"	"1"	"protein_coding"	"plant glycogenin-like starch initiation protein 2"	"Encodes a glucuronyltransferase responsible  for the addition of GlcA residues onto xylan and for secondary wall deposition."	"\"plant glycogenin-like starch initiation protein 2 (PGSIP2); CONTAINS InterPro DOMAIN/s: Glycosyl transferase, family 8 (InterPro:IPR002495); BEST Arabidopsis thaliana protein match is: plant glycogenin-like starch initiation protein 1 (TAIR:AT3G18660.3)\""	"\"GUX3,PGSIP2\""	"plant glycogenin-like starch initiation protein 2"	"PGSIP2"	"\"GUX3,glucuronic acid substitution of xylan 3\""	"plant glycogenin-like starch initiation protein 2"	"plant glycogenin-like starch initiation protein 2 (PGSIP2)%3B CONTAINS InterPro DOMAIN/s: Glycosyl transferase%2C family 8 (InterPro:IPR002495)%3B BEST Arabidopsis thaliana protein match is: plant glycogenin-like starch initiation protein 1 (TAIR:AT3G18660.3)%3B Has 1471 Blast hits to 1463 proteins in 343 species: Archae - 0%3B Bacteria - 240%3B Metazoa - 259%3B Fungi - 287%3B Plants - 508%3B Viruses - 75%3B Other Eukaryotes - 102 (source: NCBI BLink)."	"\"PMID:20852069,PMID:22537759,PMID:22706449,PMID:23373848,locus:2196020\""	"protein_coding"	"Encodes a glucuronyltransferase responsible  for the addition of GlcA residues onto xylan and for secondary wall deposition."	"-"	"-"	"data"
-0.52	"Os02t0810300-01"	"Os02g0810300"	"Similar to NBD-like protein."	"-"	"-"	"ABCI14"	"ABC TRANSPORTER I FAMILY MEMBER 14"	"OsABCI14"	"ABC transporter superfamily ABCI subgroup member 14"	"Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: ATPase activity (GO:0016887), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)"	"ABC transporter-like (IPR003439), ATPase, AAA+ type, core (IPR003593)"	"AK059363 (DDBJ, Best hit), AK099203 (DDBJ, Best hit)"	"NP_001149302.1 (RefSeq)"	"-"	"-"	"001-026-E03, J023118L21"	"12037"	"AT5G44110.4"	"2"	"protein_coding"	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"Encodes a member of the NAP subfamily of ABC transporters."	"\"POP1; CONTAINS InterPro DOMAIN/s: ATPase, AAA+ type, core (InterPro:IPR003593), ABC transporter-like (InterPro:IPR003439); BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT1G03905.1)\""	"\"ABCI21,ATNAP2,ATPOP1,POP1\""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"ABCI21"	"\"ATNAP2,ARABIDOPSIS THALIANA NON-INTRINSIC ABC PROTEIN,ATPOP1,POP1\""	"ATP-binding cassette A21"	"POP1%3B CONTAINS InterPro DOMAIN/s: ATPase%2C AAA+ type%2C core (InterPro:IPR003593)%2C ABC transporter-like (InterPro:IPR003439)%3B BEST Arabidopsis thaliana protein match is: P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR:AT1G03905.1)%3B Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 736%3B Fungi - 347%3B Plants - 385%3B Viruses - 0%3B Other Eukaryotes - 339 (source: NCBI BLink)."	"\"PMID:11346655,PMID:12481097,PMID:15381434,PMID:16307366,PMID:16330762,PMID:16829591,PMID:17076805,PMID:17337630,PMID:18299247,PMID:18650403,PMID:18757557,locus:2167644\""	"protein_coding"	"Encodes a member of the NAP subfamily of ABC transporters."	"-"	"-"	"data"
-0.52	"Os06t0678200-01"	"Os06g0678200"	"Similar to Geranyl diphosphate synthase."	"-"	"-"	"-"	"-"	"OsSPS1, SPS1"	"solanesyl diphosphate synthase 1"	"Biological Process: isoprenoid biosynthetic process (GO:0008299)"	"Polyprenyl synthetase (IPR000092), Terpenoid synthase (IPR008949), Polyprenyl synthetase-related (IPR017446)"	"AK071299 (DDBJ, Best hit), AK059456 (DDBJ, Best hit)"	"B6TA22 (UniProt)"	"-"	"-"	"J023088H10, 001-028-C04"	"11196"	"AT2G34630.2"	"2"	"protein_coding"	"geranyl diphosphate synthase 1"	"Encodes a geranyl diphosphate synthase. RNAi lines are dwarf. T-DNA knock-out lines are embryo lethal."	"\"geranyl diphosphate synthase 1 (GPS1); CONTAINS InterPro DOMAIN/s: Polyprenyl synthetase-related (InterPro:IPR017446), Terpenoid synthase (InterPro:IPR008949), Polyprenyl synthetase (InterPro:IPR000092); BEST Arabidopsis thaliana protein match is: solanesyl diphosphate synthase 2 (TAIR:AT1G17050.1)\""	"\"GPPS,GPS1\""	"geranyl diphosphate synthase 1"	"GPS1"	"\"GPPS,GERANYLPYROPHOSPHATE SYNTHASE\""	"geranyl diphosphate synthase 1"	"geranyl diphosphate synthase 1 (GPS1)%3B CONTAINS InterPro DOMAIN/s: Polyprenyl synthetase-related (InterPro:IPR017446)%2C Terpenoid synthase (InterPro:IPR008949)%2C Polyprenyl synthetase (InterPro:IPR000092)%3B BEST Arabidopsis thaliana protein match is: solanesyl diphosphate synthase 2 (TAIR:AT1G17050.1)%3B Has 15732 Blast hits to 15728 proteins in 2900 species: Archae - 335%3B Bacteria - 9322%3B Metazoa - 401%3B Fungi - 471%3B Plants - 404%3B Viruses - 0%3B Other Eukaryotes - 4799 (source: NCBI BLink)."	"\"PMID:11069698,PMID:12777052,PMID:15653808,PMID:17877699,PMID:18650403,PMID:21220764,PMID:21950843,locus:2062315\""	"protein_coding"	"Encodes a geranyl diphosphate synthase. RNAi lines are dwarf. T-DNA knock-out lines are embryo lethal."	"-"	"-"	"data"
-0.52	"Os01t0316900-01"	"Os01g0316900"	"Conserved hypothetical protein."	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"AK070437 (DDBJ, Best hit)"	"B9EVT7 (UniProt)"	"-"	"-"	"J023050F17"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"data"
-0.52	"Os10t0432300-01"	"Os10g0432300"	"Similar to Transcription factor IID, TFIID (Fragment)."	"-"	"-"	"-"	"-"	"-"	"-"	"Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: transcription initiation from RNA polymerase II promoter (GO:0006367), Molecular Function: DNA binding (GO:0003677), Molecular Function: binding (GO:0005488)"	"TATA-box binding protein (IPR000814), Transcription factor TFIID, C-terminal/DNA glycosylase, N-terminal (IPR012294), Beta2-adaptin/TATA-box binding, C-terminal (IPR012295)"	"AK108240 (DDBJ, Best hit)"	"P26356 (UniProt)"	"-"	"-"	"002-140-G12"	"-"	"AT1G55520.1"	"1"	"protein_coding"	"TATA binding protein 2"	"\"TATA-box binding protein. Required for basal transcription. Acts facilitating the recruitment of TFIID to the promoter, which together with the RNA polymerase form the preinitiation complex.\""	"\"TATA binding protein 2 (TBP2); CONTAINS InterPro DOMAIN/s: TATA-box binding (InterPro:IPR000814), Beta2-adaptin/TATA-box binding, C-terminal (InterPro:IPR012295), Transcription factor TFIID, C-terminal/DNA glycosylase, N-terminal (InterPro:IPR012294); BEST Arabidopsis thaliana protein match is: TATA binding protein 1 (TAIR:AT3G13445.1)\""	"\"ATTBP2,TBP2\""	"TATA binding protein 2"	"TBP2"	"\"ATTBP2,A. THALIANA TATA BINDING PROTEIN 2\""	"TATA binding protein 2"	"TATA binding protein 2 (TBP2)%3B CONTAINS InterPro DOMAIN/s: TATA-box binding (InterPro:IPR000814)%2C Beta2-adaptin/TATA-box binding%2C C-terminal (InterPro:IPR012295)%2C Transcription factor TFIID%2C C-terminal/DNA glycosylase%2C N-terminal (InterPro:IPR012294)%3B BEST Arabidopsis thaliana protein match is: TATA binding protein 1 (TAIR:AT3G13445.1)%3B Has 2123 Blast hits to 1580 proteins in 405 species: Archae - 736%3B Bacteria - 0%3B Metazoa - 578%3B Fungi - 191%3B Plants - 155%3B Viruses - 0%3B Other Eukaryotes - 463 (source: NCBI BLink)."	"\"PMID:10634912,PMID:9801140,PMID:8643494,PMID:7634102,PMID:8312743,PMID:14558660,PMID:16024589,PMID:17340043,PMID:18775970,PMID:21266657,PMID:23713077,locus:2193904\""	"protein_coding"	"TATA-box binding protein. Required for basal transcription. Acts facilitating the recruitment of TFIID to the promoter%2C which together with the RNA polymerase form the preinitiation complex."	"-"	"-"	"data"
