"fld"	"GC"	"mix"	"Locus_ID"	"Description"	"Oryzabase.Gene.Symbol.Synonym.s."
"temperature"	"radiation"	"radiation"	"Os01g0372700"	"Similar to Asparaginyl-tRNA synthetase, cytoplasmic 1 (EC 6.1.1.22) (Asparagine-- tRNA ligase 1) (AsnRS 1)."	"-"
"radiation"	"radiation"	"radiation"	"Os01g0382700"	"Similar to stress regulated protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0386700"	"Similar to BSK1 (BR-SIGNALING KINASE 1); ATP binding / binding / kinase/ protein kinase/ protein tyrosine kinase."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0500600"	"Hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0507900"	"Similar to NClpP3 (ATP-dependent Clp protease proteolytic subunit ClpP3)."	"OsClpP3, OsClp2, CLP2"
"temperature"	"temperature"	"temperature"	"Os01g0511600"	"Similar to lrgB-like family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0559900"	"Non-protein coding transcript."	"OsAGP14, OsAGPEP2"
"temperature"	"radiation"	"radiation"	"Os01g0574500"	"ATPase, AAA-type, core domain containing protein."	"OsFtsH5, FtsH5"
"temperature"	"temperature"	"temperature"	"Os01g0583100"	"Similar to Protein phosphatase 2C."	"OsPP2C06/OsABI2, OsPP2C06, OsPP2C6, PP2C96, OsABI2, OsPP10, ABI2, OsABIL1, ABIL1"
"radiation"	"temperature"	"temperature"	"Os01g0593000"	"Similar to predicted protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0600400"	"Pentatricopeptide repeat domain containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os01g0603800"	"Similar to Triticum sp. (pAWJL3) leucine rich repeat region mRNA (Fragment)."	"OsSTA22"
"radiation"	"temperature"	"temperature"	"Os01g0625200"	"Similar to kinesin motor family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0666800"	"Similar to predicted protein."	"-"
"radiation"	"temperature"	"temperature"	"Os01g0672100"	"No apical meristem (NAM) protein domain containing protein."	"ONAC073, ONAC73"
"temperature"	"temperature"	"radiation"	"Os01g0678000"	"Protein of unknown function DUF2921 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0678100"	"Protein of unknown function DUF2921 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0694900"	"Epsin-like, N-terminal domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0700000"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0739400"	"Similar to predicted protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0754500"	"Protein of unknown function DUF1421 family protein."	"-"
"radiation"	"temperature"	"temperature"	"Os01g0757500"	"CS domain domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0780900"	"Protein of unknown function DUF3778 domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os01g0808100"	"Similar to BZIP transcription factor."	"OsbZIP08, OsbZIP8"
"temperature"	"radiation"	"radiation"	"Os01g0811300"	"Similar to SET domain protein SDG111."	"OsSET4, SDG709, OsSUVH7"
"radiation"	"radiation"	"radiation"	"Os01g0816400"	"Similar to Microtubule bundling polypeptide TMBP200."	"-"
"radiation"	"radiation"	"radiation"	"Os01g0822800"	"Similar to RING-H2 finger protein ATL3C."	"-"
"radiation"	"temperature"	"temperature"	"Os01g0839200"	"DUF966 family protein, Abiotic stress response"	"OsDSR2"
"temperature"	"radiation"	"radiation"	"Os01g0872800"	"Similar to 3-phosphoinositide-dependent protein kinase-1 (Fragment)."	"PDK1, OsPdk1, Pdk1"
"radiation"	"temperature"	"radiation"	"Os01g0878400"	"Amino acid transporter, transmembrane domain containing protein."	"OsAAP10C, AAP10C, OsAAP5, AAP5"
"radiation"	"temperature"	"temperature"	"Os01g0880200"	"Similar to secondary cell wall-related glycosyltransferase family 8."	"-"
"radiation"	"radiation"	"radiation"	"Os01g0889200"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0889900"	"Serine/threonine protein kinase-related domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os01g0911300"	"Similar to Transporter associated with antigen processing-like protein."	"OsABCB24"
"temperature"	"radiation"	"radiation"	"Os01g0917400"	"Zinc finger, CCCH-type domain containing protein."	"OsC3H12"
"temperature"	"radiation"	"radiation"	"Os01g0918100"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"radiation"	"Os01g0928800"	"Similar to Serine palmitoyltransferase."	"OsLCB2a1, LCB2a1"
"temperature"	"radiation"	"radiation"	"Os01g0931300"	"Tafazzin family protein."	"-"
"temperature"	"temperature"	"radiation"	"Os01g0934500"	"Hypothetical gene."	"-"
"temperature"	"radiation = temperature"	"temperature"	"Os01g0954400"	"Similar to Hydroxyproline-rich glycoprotein DZ-HRGP precursor."	"OsRFP"
"radiation"	"temperature"	"radiation"	"Os01g0959000"	"Nucleotide-binding, alpha-beta plait domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0960800"	"Protein Transporter, Pam16 family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os01g0963600"	"ABA/WDS induced protein family protein."	"OsAsr2, OsASR4, OsASR6"
"temperature"	"radiation"	"radiation"	"Os01g0971800"	"Transcription factor with a GARP DNA-binding domain, Photoperiodic control of flowering time, Clock associated-component"	"OsPCL1"
"temperature"	"temperature"	"radiation"	"Os01g0973300"	"Armadillo-like helical domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0107000"	"Sec63 domain domain containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os02g0116000"	"Zinc finger, C2H2 domain containing protein."	"-"
"radiation"	"temperature"	"temperature"	"Os02g0120800"	"Similar to Small GTP-binding protein (Fragment)."	"OsRacB, OsRac6"
"temperature"	"temperature"	"radiation"	"Os02g0135700"	"DNA polymerase V family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0143100"	"Similar to Sucrose-phosphatase (EC 3.1.3.24)."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0145600"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0169900"	"Inositol monophosphatase family protein."	"OsIMP-2, IMP-2"
"temperature"	"radiation"	"radiation"	"Os02g0170200"	"Similar to splicing factor, arginine/serine-rich 12."	"-"
"radiation"	"temperature"	"radiation"	"Os02g0175900"	"Mitotic checkpoint protein PRCC, C-terminal domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0193800"	"Similar to cDNA clone:002-103-F09, full insert sequence."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0215000"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0223300"	"Poly(A) polymerase, central domain domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0258900"	"Similar to CNX2 (COFACTOR OF NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 2); catalytic."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0265900"	"Hypothetical conserved gene."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0266800"	"Transcriptional activator protein."	"OsbZIP20, RITA-1, RISBZ3"
"temperature"	"radiation"	"radiation"	"Os02g0287900"	"Cyclin-like F-box domain containing protein."	"OsFbox080, OsFbox80, Os_F0533"
"temperature"	"radiation"	"radiation"	"Os02g0299300"	"Similar to cDNA clone:J023112L03, full insert sequence."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0306100"	"Similar to cation cation antiporter."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0319800"	"WD40 repeat-like domain containing protein."	"OsWD40-43"
"radiation"	"radiation"	"radiation"	"Os02g0324300"	"Protein of unknown function DUF572 family protein."	"-"
"radiation"	"radiation"	"temperature"	"Os02g0489400"	"Similar to 40S ribosomal protein S8."	"S8"
"radiation"	"radiation"	"radiation"	"Os02g0509500"	"Protein of unknown function DUF3339 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0510000"	"Similar to Chaperone protein dnaJ."	"OsDjC18"
"temperature"	"temperature"	"radiation"	"Os02g0519300"	"Similar to H0112G12.10 protein."	"-"
"temperature"	"temperature"	"radiation"	"Os02g0521700"	"Similar to Thioesterase family protein."	"-"
"temperature"	"temperature"	"radiation"	"Os02g0563800"	"Cyclin-like F-box domain containing protein."	"OsFbox097, OsFbox97, Os_F0402"
"radiation"	"temperature"	"radiation = temperature"	"Os02g0572400"	"Similar to Riboflavin biosynthesis protein ribA, chloroplast precursor [Includes: GTP cyclohydrolase II (EC 3.5.4.25); 3, 4-dihydroxy-2-butanone 4- phosphate synthase (DHBP synthase)]."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0577900"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"temperature"	"Os02g0591900"	"Protein kinase, catalytic domain domain containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os02g0592500"	"Folate receptor, conserved region domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0593700"	"Similar to TA4 protein (Fragment)."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0597900"	"Similar to B-keto acyl reductase."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0608900"	"Similar to Epstein-Barr virus (B95-8 isolate) U2-IR2 domain encoding nuclear protein EBNA2, complete cds."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0610700"	"Conserved hypothetical protein."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0634800"	"Ubiquitin-conjugating enzyme/RWD-like domain containing protein."	"UBC, OsUBC32, UBC32"
"temperature"	"temperature"	"temperature"	"Os02g0644100"	"Similar to Heat shock protein STI (Stress inducible protein) (GmSTI)."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0646500"	"Aldehyde dehydrogenase domain containing protein."	"OS-ALDH, OsALDH3E1"
"radiation"	"radiation"	"radiation"	"Os02g0654700"	"AP2/ERF family protein, Abiotic stress response"	"OsERF#091, OsERF091, OsERF91, AP59, OsAP59, AP2/EREBP#147, AP2/EREBP147, OsBIERF3, BIERF3"
"temperature"	"radiation"	"radiation"	"Os02g0656500"	"DnaJ-like protein."	"OsDjA1"
"temperature"	"temperature"	"radiation"	"Os02g0665000"	"Similar to Malic enzyme."	"-"
"temperature"	"temperature"	"temperature"	"Os02g0681100"	"Protein of unknown function DUF604 family protein."	"-"
"radiation"	"temperature"	"temperature"	"Os02g0697700"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"radiation"	"Os02g0711100"	"Pentatricopeptide repeat domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0724000"	"CONSTANS-like protein, Heading promotion under long-day condition"	"OsN, OsBBX7, OsCCT08, DTH2"
"temperature"	"radiation"	"radiation"	"Os02g0725000"	"Similar to Protein kinase G11A (EC 2.7.1.-) (Fragment)."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0726600"	"Similar to tic20 protein-related."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0732900"	"Protein of unknown function DUF794, plant family protein."	"OsISC41"
"temperature"	"radiation"	"radiation"	"Os02g0741500"	"Ribbon-helix-helix domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os02g0745200"	"Hypothetical gene."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0760000"	"Similar to chaperone protein dnaJ."	"OsDjC22"
"radiation"	"temperature"	"temperature"	"Os02g0760600"	"BTB domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0764500"	"Similar to Lhca5 protein."	"-"
"radiation"	"temperature"	"radiation"	"Os02g0767900"	"Glutaredoxin 2 family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0769900"	"Pentatricopeptide repeat domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0773300"	"Pyridoxal phosphate-dependent deaminase family protein."	"-"
"radiation"	"temperature"	"temperature"	"Os02g0779650"	"Hypothetical conserved gene."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0803400"	"Similar to vacuolar protein sorting 55 containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os02g0810425"	"Non-protein coding transcript."	"-"
"radiation"	"radiation"	"radiation"	"Os02g0814800"	"Glutathione S-transferase, C-terminal-like domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0820400"	"Transferase family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0822800"	"Galactose oxidase/kelch, beta-propeller domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os02g0827600"	"Protein of unknown function DUF3531 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0109800"	"Hypothetical conserved gene."	"-"
"radiation"	"radiation"	"radiation"	"Os03g0110900"	"Dimeric alpha-beta barrel domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0118600"	"Similar to dihydrodipicolinate reductase."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0119900"	"Similar to Histone H4."	"-"
"temperature"	"temperature"	"radiation"	"Os03g0130800"	"Bromodomain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0137600"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0138900"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0140200"	"Similar to Cytochrome P450 86A1 (EC 1.14.-.-) (CYPLXXXVI) (P450-dependent fatty acid omega-hydroxylase)."	"OsCYP96B5"
"temperature"	"radiation"	"radiation"	"Os03g0156700"	"Nickel/cobalt transporter, high-affinity domain containing protein."	"OsZNL"
"radiation"	"temperature"	"radiation"	"Os03g0165900"	"Tetratricopeptide-like helical domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os03g0172100"	"Similar to Leucine zipper protein."	"-"
"radiation"	"temperature"	"temperature"	"Os03g0183200"	"Similar to AP2 domain containing protein, expressed."	"OsERF#069, OsERF069, OsERF69, AP2/EREBP#028, AP2/EREBP28"
"temperature"	"radiation"	"radiation"	"Os03g0197000"	"Di-trans-poly-cis-decaprenylcistransferase-like domain containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os03g0212700"	"Similar to Cytochrome C reductase-processing peptidase subunit I, MPP subunit I, P55."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0220700"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0225500"	"Nucleoporin, Common symbiosis signaling (SYM) pathway"	"NUP133"
"radiation"	"temperature"	"temperature"	"Os03g0246500"	"Protein of unknown function DUF869, plant family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0265400"	"Similar to 50S ribosomal protein L4, chloroplast precursor (R-protein L4)."	"-"
"radiation"	"temperature"	"temperature"	"Os03g0265600"	"Similar to Transformer-2-like protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0267600"	"Protein of unknown function DUF3527 domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0274300"	"Similar to Initiator-binding protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0284500"	"HAD-superfamily subfamily IIA hydrolase, CECR5 protein."	"-"
"temperature"	"temperature"	"radiation"	"Os03g0285800"	"MAP Kinase."	"OsMSRMK2, OsMAPK5, OsMAP1, OsMPK3, OsBIMK1, OsMAPK2, MPK5, BIMK1, MAPK2, MAPK5, MPK3, OsMPK5, OsMAPK3, OsMAPK5b, MAPK3"
"temperature"	"radiation"	"radiation"	"Os03g0289200"	"Similar to H/ACA ribonucleoprotein complex subunit 1-like protein (GCR 101 snRNP)."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0322600"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"radiation"	"Os03g0327800"	"NAC Family transcriptional activator, Abiotic stress response, Positive regulator of leaf senescence"	"OsNAP, ONAC058, ONAC58, PS1"
"temperature"	"radiation"	"radiation"	"Os03g0333300"	"Similar to Eukaryotic translation initiation factor 2 beta subunit (eIF-2-beta) (P38)."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0351800"	"Zinc finger, RING/FYVE/PHD-type domain containing protein."	"OsRFP"
"radiation"	"temperature"	"radiation"	"Os03g0356400"	"Thioredoxin fold domain containing protein."	"OsGRL6"
"radiation"	"radiation"	"radiation"	"Os03g0387900"	"Conserved hypothetical protein."	"-"
"radiation"	"temperature"	"radiation"	"Os03g0406200"	"Elongation factor 1 beta 2."	"eEF-1beta2, EF-1beta2"
"temperature"	"radiation"	"radiation"	"Os03g0425300"	"Similar to DGK1 (DIACYLGLYCEROL KINASE1); calcium ion binding / diacylglycerol kinase."	"-"
"radiation"	"radiation"	"radiation"	"Os03g0431600"	"Hypothetical conserved gene."	"-"
"radiation"	"radiation"	"radiation"	"Os03g0568500"	"Uncharacterised protein family UPF0136, Transmembrane domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0582200"	"SCAMP family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0586300"	"Reticulon family protein."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0599600"	"Regulator of chromosome condensation, RCC1 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0620800"	"Similar to SEC1-family transport protein SLY1 (AtSLY1)."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0625300"	"Similar to nucleotide binding protein."	"OsWD40-77"
"temperature"	"radiation"	"radiation"	"Os03g0628900"	"Prefoldin domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os03g0648400"	"Similar to DnaJ protein homolog (DNAJ-1)."	"OsDjA4, YDJ1"
"radiation"	"radiation"	"radiation"	"Os03g0668900"	"Similar to acidic leucine-rich nuclear phosphoprotein 32 family member A."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0684400"	"Mg2+ transporter protein, CorA-like domain containing protein."	"OsMRS2-6"
"temperature"	"radiation"	"radiation"	"Os03g0685000"	"Similar to Ferredoxin."	"OsFdC2, FdC2, OsHDY1"
"radiation"	"radiation"	"radiation"	"Os03g0717900"	"Similar to ABRH7 (Fragment)."	"-"
"temperature"	"temperature"	"radiation"	"Os03g0722700"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0728800"	"Similar to RNA helicase (Fragment)."	"OsRH16"
"radiation"	"radiation"	"radiation"	"Os03g0730400"	"Similar to Serine carboxypeptidase."	"OsSCP19"
"radiation"	"temperature"	"radiation"	"Os03g0752800"	"Similar to Isoform 2 of MADS-box transcription factor 14."	"OsMADS14, FDRMADS6, RMADS211, AGL10, RAP1B"
"temperature"	"radiation"	"radiation"	"Os03g0754200"	"Similar to Triosephosphate isomerase."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0765400"	"Similar to nucleoporin p58/p45."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0767700"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0791700"	"Tyrosine protein kinase domain containing protein."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0795000"	"Biopterin transport-related protein BT1 family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0803000"	"Synaptobrevin domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0805400"	"Phosphatidic acid phosphatase type 2/haloperoxidase domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os03g0811700"	"Similar to Pre-mRNA branch site protein p14 (SF3B 14 kDa subunit)."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0825600"	"Hypothetical conserved gene."	"-"
"radiation"	"temperature"	"radiation"	"Os03g0826400"	"Nucleotide-binding, alpha-beta plait domain containing protein."	"OsC3H25"
"temperature"	"radiation"	"radiation"	"Os03g0833700"	"RNA 3'-terminal phosphate cyclase family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os03g0848600"	"Similar to NOI protein."	"-"
"temperature"	"temperature"	"temperature"	"Os03g0854100"	"Similar to ARF GAP-like zinc finger-containing protein ZIGA2 (Fragment)."	"-"
"temperature"	"temperature"	"radiation"	"Os03g0854200"	"Exoribonuclease domain containing protein."	"-"
"temperature"	"temperature"	"radiation"	"Os03g0854500"	"Similar to Heat shock transcription factor 31 (Fragment)."	"OsHsfA1, HSFA1, HSF13, OsHsf-13, HSF3, rHsf3, OsHsfA1a"
"temperature"	"temperature"	"temperature"	"Os04g0169300"	"Conserved hypothetical protein."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0181100"	"HR-like lesion-inducer family protein."	"-"
"radiation"	"temperature"	"temperature"	"Os04g0231800"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"temperature"	"Os04g0340800"	"Conserved hypothetical protein."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0346000"	"2OG-Fe(II) oxygenase domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0349500"	"Similar to 40S ribosomal protein S8."	"-"
"temperature"	"temperature"	"temperature"	"Os04g0368000"	"Serine/threonine protein kinase-related domain containing protein."	"OsWAK43"
"temperature"	"radiation"	"radiation"	"Os04g0378400"	"Non-protein coding transcript."	"-"
"temperature"	"temperature"	"temperature"	"Os04g0380200"	"Conserved hypothetical protein."	"-"
"temperature"	"temperature"	"temperature"	"Os04g0402100"	"Similar to Calnexin (Fragment)."	"OsCNX"
"temperature"	"radiation"	"radiation"	"Os04g0403500"	"NAD(P)-binding domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0417800"	"WD40 repeat-like domain containing protein."	"OsWD40-100"
"temperature"	"radiation"	"radiation"	"Os04g0430200"	"PLC-like phosphodiesterase, TIM beta/alpha-barrel domain domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0431300"	"Acyl-CoA N-acyltransferase domain containing protein."	"-"
"radiation"	"temperature"	"radiation"	"Os04g0442100"	"Smr protein/MutS2 C-terminal domain containing protein."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0452700"	"Similar to Monosaccharide transporter 1."	"OsMST1"
"temperature"	"radiation"	"radiation"	"Os04g0459900"	"Peptidase, trypsin-like serine and cysteine domain containing protein."	"OsDegp5, DEGP5, OsDeg8"
"radiation"	"radiation"	"radiation"	"Os04g0494400"	"Similar to RR4 - Corn type-A response regulator."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0503500"	"Leucine-rich repeat, cysteine-containing subtype containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0503600"	"Similar to OSIGBa0112M24.5 protein."	"OsRLCK153"
"temperature"	"temperature"	"radiation"	"Os04g0513000"	"Conserved hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0514400"	"Peptidoglycan binding-like domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0528400"	"Hypothetical gene."	"OsHUS1, HUS1"
"temperature"	"radiation"	"radiation"	"Os04g0544900"	"Alg9-like mannosyltransferase family protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0566500"	"Similar to Argonaute protein."	"OsAGO1b, AGO1b, AGO1-2"
"temperature"	"radiation"	"radiation"	"Os04g0583000"	"Conserved hypothetical protein."	"OsFbox229, Os_F0493"
"temperature"	"temperature"	"temperature"	"Os04g0584600"	"Similar to Calcium-dependent protein kinase."	"OsCDPK13, OsCPK13, OsCDPK7, OsCPK13-1, OsCPK13-2"
"temperature"	"radiation"	"radiation"	"Os04g0589600"	"Glycosyl transferase, group 1 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0596350"	"Non-protein coding transcript."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0599100"	"Similar to OSJNba0093F12.23 protein."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0599900"	"Similar to ENTH1 protein (Fragment)."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0601700"	"Similar to Vacuolar ATP synthase subunit G 1 (EC 3.6.3.14) (V-ATPase G subunit 1) (Vacuolar proton pump G subunit 1)."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0616900"	"Similar to H0525G02.14 protein."	"-"
"temperature"	"temperature"	"radiation"	"Os04g0626600"	"Similar to OSIGBa0117N13.2 protein."	"OsFbox234, Os_F0170"
"temperature"	"temperature"	"radiation"	"Os04g0648800"	"C3HC4 RING domain-containing E3 ubiquitin ligase, Modulation of heading date by physically interacting with Hd1"	"OsHIP1, HIP1, HAF1, OsHAF1"
"temperature"	"radiation"	"radiation"	"Os04g0652550"	"Hypothetical protein."	"-"
"temperature"	"radiation"	"radiation"	"Os04g0661600"	"Similar to H0112G12.13 protein."	"-"
"radiation"	"temperature"	"radiation"	"Os04g0670400"	"Similar to H0624F09.2 protein."	"-"
"radiation"	"radiation"	"radiation"	"Os04g0679400"	"Similar to H0801D08.15 protein."	"-"
"radiation"	"temperature"	"temperature"	"Os04g0685400"	"Harpin-induced 1 domain containing protein."	"-"
"temperature"	"radiation"	"radiation"	"Os05g0150500"	"F-Box auxin receptor protein, Nuclear protein, Flag leaf inclination, Primary root growth, Crown root initiation, Seed development, Tillering"	"OsTIR1, TIR1, OsFbox248, Os_F0717"
"temperature"	"temperature"	"radiation"	"Os05g0150900"	"Hypothetical conserved gene."	"-"
