"Transcript_ID","Locus_ID","Description","RAP.DB.Gene.Symbol.Synonym.s.","RAP.DB.Gene.Name.Synonym.s.","CGSNL.Gene.Symbol","CGSNL.Gene.Name","Oryzabase.Gene.Symbol.Synonym.s.","Oryzabase.Gene.Name.Synonym.s.","GO","InterPro","Transcript.evidence","ORF.evidence","Curation.Date","Literature.PMID","FLcDNA.clone.ID","Oryzabase.Trait.Gene.ID","A.thaliana_gene_id","Reciprocal_flag","Type","Short_description","Curator_summary","Computational_description","gene.alias","Note","symbol","Alias","full_name","computational_description","Dbxref","locus_type","curator_summary","description","nochangenat.description","NormalizationGroup"
"Os02t0181900-01","Os02g0181900","Similar to ClpB.","-","-","CLPB-M","CLASS I CLP ATPASE B-M","ClpB-m, OsClpB-m","class I Clp ATPase B-M, ClpB-mitochondrial, ClpB/Hsp100 mitochondrial isoform","Biological Process: response to heat (GO:0009408), Biological Process: protein processing (GO:0016485), Biological Process: protein metabolic process (GO:0019538), Cellular Component: cytoplasm (GO:0005737), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: ATP binding (GO:0005524), Molecular Function: nucleoside-triphosphatase activity (GO:0017111)","Chaperonin ClpA/B (IPR001270), ATPase, AAA+ type, core (IPR003593), ATPase, AAA-type, core (IPR003959), Clp, N-terminal (IPR004176), ATPase, AAA-2 (IPR013093), Chaperonin ClpB (IPR017730), Chaperonin ClpA/B, conserved site (IPR018368), Clp ATPase, C-terminal (IPR019489), Double Clp-N motif (IPR023150)","AK287906 (DDBJ, Best hit)","E4MX40 (UniProt)","-","-","J065212D20","8945","AT2G25140.1","2","protein_coding","casein lytic proteinase B4","""Encodes ClpB4, which belongs to the Casein lytic proteinase/heat shock protein 100 (Clp/Hsp100) family.  Targeted to the mitochondrion, also referred to as ClpB-m.  Transcripts of ClpB4 accumulate dramatically at high temperatures, suggesting that it may be involved in response to heat stress.""","""casein lytic proteinase B4 (CLPB4); FUNCTIONS IN: nucleoside-triphosphatase activity, ATPase activity, nucleotide binding, ATP binding; INVOLVED IN: response to heat; LOCATED IN: mitochondrion, chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Clp ATPase, C-terminal (InterPro:IPR019489), ATPase, AAA+ type, core (InterPro:IPR003593), ATPase, AAA-2 (InterPro:IPR013093), ATPase, AAA-type, core (InterPro:IPR003959), Chaperonin clpA/B (InterPro:IPR001270), Chaperonin ClpB (InterPro:IPR017730), Chaperonin ClpA/B, conserved site (InterPro:IPR018368), Clp, N-terminal (InterPro:IPR004176); BEST Arabidopsis thaliana protein match is: casein lytic proteinase B3 (TAIR:AT5G15450.1)""","""CLPB-M,CLPB4,HSP98.7""","casein lytic proteinase B4","CLPB4","""CLPB-M,CASEIN LYTIC PROTEINASE B-M,HSP98.7,HEAT SHOCK PROTEIN 98.7""","casein lytic proteinase B4","casein lytic proteinase B4 (CLPB4)%3B FUNCTIONS IN: nucleoside-triphosphatase activity%2C ATPase activity%2C nucleotide binding%2C ATP binding%3B INVOLVED IN: response to heat%3B LOCATED IN: mitochondrion%2C chloroplast%3B EXPRESSED IN: 22 plant structures%3B EXPRESSED DURING: 13 growth stages%3B CONTAINS InterPro DOMAIN/s: Clp ATPase%2C C-terminal (InterPro:IPR019489)%2C ATPase%2C AAA+ type%2C core (InterPro:IPR003593)%2C ATPase%2C AAA-2 (InterPro:IPR013093)%2C ATPase%2C AAA-type%2C core (InterPro:IPR003959)%2C Chaperonin clpA/B (InterPro:IPR001270)%2C Chaperonin ClpB (InterPro:IPR017730)%2C Chaperonin ClpA/B%2C conserved site (InterPro:IPR018368)%2C Clp%2C N-terminal (InterPro:IPR004176)%3B BEST Arabidopsis thaliana protein match is: casein lytic proteinase B3 (TAIR:AT5G15450.1)%3B Has 30488 Blast hits to 27328 proteins in 3166 species: Archae - 421%3B Bacteria - 19864%3B Metazoa - 870%3B Fungi - 613%3B Plants - 740%3B Viruses - 7%3B Other Eukaryotes - 7973 (source: NCBI BLink).","""PMID:12185496,PMID:10889261,PMID:15531708,PMID:16995899,PMID:17010112,PMID:17181860,PMID:17144892,PMID:18189342,PMID:20811767,locus:2040159""","protein_coding","Encodes ClpB4%2C which belongs to the Casein lytic proteinase/heat shock protein 100 (Clp/Hsp100) family.  Targeted to the mitochondrion%2C also referred to as ClpB-m.  Transcripts of ClpB4 accumulate dramatically at high temperatures%2C suggesting that it may be involved in response to heat stress.","-","-","data"
"Os02t0189100-01","Os02g0189100","Mediator complex, subunit Med11 domain containing protein.","-","-","-","-","OsMED11_1, MED11_1","Mediator 11_1","Biological Process: regulation of transcription from RNA polymerase II promoter (GO:0006357), Cellular Component: mediator complex (GO:0016592), Molecular Function: RNA polymerase II transcription cofactor activity (GO:0001104)","Mediator complex, subunit Med11 (IPR019404)","AK111066 (DDBJ, Best hit)","XP_002453440.1 (RefSeq)","-","-","002-175-E01","20966","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os02t0491400-01","Os02g0491400","Similar to Peptidylprolyl isomerase.","-","-","-","-","OsFKBP62c, OsFKBP75","FK506 binding protein 62c, FK506 binding protein 75","Biological Process: protein folding (GO:0006457), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)","Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain (IPR001179), Tetratricopeptide TPR-1 (IPR001440), Tetratricopeptide-like helical (IPR011990), Tetratricopeptide repeat-containing (IPR013026), Tetratricopeptide repeat (IPR019734), Elongated TPR repeat-containing domain (IPR023114), Peptidyl-prolyl cis-trans isomerase, FKBP-type (IPR023566)","AK073233 (DDBJ, Best hit)","B9F026 (UniProt)","-","-","J033023H01","10049","AT3G25230.1","1","protein_coding","rotamase FKBP 1","""Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family.  It has three FKBP12-like domains, tetratricopeptide repeats, and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.""","""rotamase FKBP 1 (ROF1); FUNCTIONS IN: FK506 binding, peptidyl-prolyl cis-trans isomerase activity, calmodulin binding; INVOLVED IN: response to cadmium ion, response to heat, response to wounding; LOCATED IN: nucleus, cytoplasm; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734), Peptidyl-prolyl cis-trans isomerase, FKBP-type (InterPro:IPR001179); BEST Arabidopsis thaliana protein match is: FKBP-type peptidyl-prolyl cis-trans isomerase family protein (TAIR:AT5G48570.1)""","""ATFKBP62,FKBP62,ROF1""","rotamase FKBP 1","ROF1","""ATFKBP62,FKBP62,FK506 BINDING PROTEIN 62""","rotamase FKBP 1","rotamase FKBP 1 (ROF1)%3B FUNCTIONS IN: FK506 binding%2C peptidyl-prolyl cis-trans isomerase activity%2C calmodulin binding%3B INVOLVED IN: response to cadmium ion%2C response to heat%2C response to wounding%3B LOCATED IN: nucleus%2C cytoplasm%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: Tetratricopeptide TPR-1 (InterPro:IPR001440)%2C Tetratricopeptide-like helical (InterPro:IPR011990)%2C Tetratricopeptide repeat-containing (InterPro:IPR013026)%2C Tetratricopeptide repeat (InterPro:IPR019734)%2C Peptidyl-prolyl cis-trans isomerase%2C FKBP-type (InterPro:IPR001179)%3B BEST Arabidopsis thaliana protein match is: FKBP-type peptidyl-prolyl cis-trans isomerase family protein (TAIR:AT5G48570.1)%3B Has 23486 Blast hits to 15115 proteins in 1840 species: Archae - 212%3B Bacteria - 9362%3B Metazoa - 6200%3B Fungi - 1716%3B Plants - 1995%3B Viruses - 0%3B Other Eukaryotes - 4001 (source: NCBI BLink).","""PMID:8914512,PMID:11782485,PMID:15047905,PMID:15047901,PMID:15133126,PMID:16258011,PMID:16502469,PMID:16887800,PMID:17080288,PMID:18055584,PMID:18212028,PMID:18775970,PMID:19366428,PMID:19876748,PMID:20118269,PMID:20856808,PMID:22134914,PMID:22268595,PMID:23133621,PMID:24064926,locus:2090265""","protein_coding","Encodes a a high molecular weight member of the FK506 binding protein (FKBP) family.  It has three FKBP12-like domains%2C tetratricopeptide repeats%2C and a putative calmodulin binding domain. Modulates thermotolerance by interacting with HSP90.1 and affecting the accumulation of HsfA2-regulated sHSPs. Belongs to one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010%2C Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.","-","-","data"
"Os02t0622500-01","Os02g0622500","Conserved hypothetical protein.","-","-","-","-","-","-","-","-","AK067651 (DDBJ, Best hit)","A3A970 (UniProt)","-","-","J013113P22","-","AT3G04500.2","1","protein_coding","RNA-binding (RRM/RBD/RNP motifs) family protein","NULL","""RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: biological_process unknown; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677), RNA recognition motif-related (InterPro:IPR015464); BEST Arabidopsis thaliana protein match is: oligouridylate binding protein 1B (TAIR:AT1G17370.1)""","-","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-","-","RNA-binding (RRM/RBD/RNP motifs) family protein%3B FUNCTIONS IN: RNA binding%2C nucleotide binding%2C nucleic acid binding%3B INVOLVED IN: biological_process unknown%3B EXPRESSED IN: 24 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%2C RNA recognition motif-related (InterPro:IPR015464)%3B BEST Arabidopsis thaliana protein match is: oligouridylate binding protein 1B (TAIR:AT1G17370.1)%3B Has 13292 Blast hits to 10995 proteins in 692 species: Archae - 0%3B Bacteria - 989%3B Metazoa - 6848%3B Fungi - 1697%3B Plants - 2705%3B Viruses - 0%3B Other Eukaryotes - 1053 (source: NCBI BLink).","""PMID:14576160,PMID:18650403,PMID:18775970,locus:2100840""","protein_coding","-","-","-","data"
"Os02t0644100-01","Os02g0644100","Similar to Heat shock protein STI (Stress inducible protein) (GmSTI).","-","-","-","-","-","-","Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)","Tetratricopeptide TPR-1 (IPR001440), Heat shock chaperonin-binding (IPR006636), Tetratricopeptide-like helical (IPR011990), Tetratricopeptide repeat-containing (IPR013026), Tetratricopeptide TPR2 (IPR013105), Tetratricopeptide repeat (IPR019734)","AK102431 (DDBJ, Best hit)","Q43468 (UniProt)","-","-","J033093H17","-","AT1G62740.1","2","protein_coding","""stress-inducible protein, putative""","""Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010, Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones. The mRNA is cell-to-cell mobile.""","""stress-inducible protein, putative; FUNCTIONS IN: binding; INVOLVED IN: response to cadmium ion, response to stress; LOCATED IN: cytosol, nucleus, plasma membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock chaperonin-binding (InterPro:IPR006636), Tetratricopeptide TPR-1 (InterPro:IPR001440), Tetratricopeptide-like helical (InterPro:IPR011990), Tetratricopeptide repeat-containing (InterPro:IPR013026), Tetratricopeptide repeat (InterPro:IPR019734); BEST Arabidopsis thaliana protein match is: stress-inducible protein, putative (TAIR:AT1G12270.1)""","Hop2","stress-inducible protein","Hop2","-","Hop2","stress-inducible protein%2C putative%3B FUNCTIONS IN: binding%3B INVOLVED IN: response to cadmium ion%2C response to stress%3B LOCATED IN: cytosol%2C nucleus%2C plasma membrane%3B EXPRESSED IN: 25 plant structures%3B EXPRESSED DURING: 14 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock chaperonin-binding (InterPro:IPR006636)%2C Tetratricopeptide TPR-1 (InterPro:IPR001440)%2C Tetratricopeptide-like helical (InterPro:IPR011990)%2C Tetratricopeptide repeat-containing (InterPro:IPR013026)%2C Tetratricopeptide repeat (InterPro:IPR019734)%3B BEST Arabidopsis thaliana protein match is: stress-inducible protein%2C putative (TAIR:AT1G12270.1)%3B Has 44605 Blast hits to 18649 proteins in 1479 species: Archae - 1696%3B Bacteria - 14533%3B Metazoa - 9820%3B Fungi - 2891%3B Plants - 3854%3B Viruses - 4%3B Other Eukaryotes - 11807 (source: NCBI BLink).","""PMID:12777046,PMID:18182375,PMID:18433157,PMID:18650403,PMID:18784283,PMID:20005002,PMID:20118269,PMID:20736450,PMID:20856808,PMID:21596689,locus:2026197""","protein_coding","Encodes one of the 36 carboxylate clamp (CC)-tetratricopeptide repeat (TPR) proteins (Prasad 2010%2C Pubmed ID: 20856808) with potential to interact with Hsp90/Hsp70 as co-chaperones.","-","-","data"
"Os02t0758000-01","Os02g0758000","Similar to Low molecular weight heat shock protein precursor (Mitochondrial small heat shock protein 22).","-","-","HSP24.1","24.1 KDA CLASS I HEAT SHOCK PROTEIN","OsHsp24.1, OsHSP24.1","24.1 kDa heat shock protein, 24.1-kD heat shock protein","-","Heat shock protein Hsp20 (IPR002068), HSP20-like chaperone (IPR008978)","AK105464 (DDBJ, Best hit), AK064389 (DDBJ, Best hit), AK074003 (DDBJ, Best hit)","E5D3K1 (UniProt)","-","-","001-126-A02, 002-108-F07, J033076P21","11893","AT4G25200.1","2","protein_coding","mitochondrion-localized small heat shock protein 23.6","""AtHSP23.6-mito mRNA, nuclear gene encoding mitochondrial""","""mitochondrion-localized small heat shock protein 23.6 (HSP23.6-MITO); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: response to cadmium ion, response to heat; EXPRESSED IN: 6 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Heat shock protein Hsp20 (InterPro:IPR002068), HSP20-like chaperone (InterPro:IPR008978); BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT5G51440.1)""","""ATHSP23.6-MITO,HSP23.6-MITO""","mitochondrion-localized small heat shock protein 23.6","HSP23.6-MITO","""ATHSP23.6-MITO,mitochondrion-localized small heat shock protein 23.6""","mitochondrion-localized small heat shock protein 23.6","mitochondrion-localized small heat shock protein 23.6 (HSP23.6-MITO)%3B FUNCTIONS IN: molecular_function unknown%3B INVOLVED IN: response to cadmium ion%2C response to heat%3B EXPRESSED IN: 6 plant structures%3B EXPRESSED DURING: 4 anthesis%2C petal differentiation and expansion stage%3B CONTAINS InterPro DOMAIN/s: Heat shock protein Hsp20 (InterPro:IPR002068)%2C HSP20-like chaperone (InterPro:IPR008978)%3B BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT5G51440.1)%3B Has 4365 Blast hits to 4365 proteins in 1128 species: Archae - 166%3B Bacteria - 2413%3B Metazoa - 2%3B Fungi - 150%3B Plants - 1316%3B Viruses - 0%3B Other Eukaryotes - 318 (source: NCBI BLink).","""PMID:12169696,PMID:12535341,PMID:14500793,PMID:14593120,PMID:14730060,PMID:14964527,PMID:15047901,PMID:16258017,PMID:16502469,PMID:16531488,PMID:17059409,PMID:17085506,PMID:18702669,locus:2122649""","protein_coding","AtHSP23.6-mito mRNA%2C nuclear gene encoding mitochondrial","-","-","data"
"Os02t0814000-01","Os02g0814000","Protein of unknown function DUF862, eukaryotic domain containing protein.","-","-","-","-","-","-","-","Domain of unknown function DUF862, eukaryotic (IPR008580)","AK060071 (DDBJ, Best hit), AK102943 (DDBJ, Best hit), AK104442 (DDBJ, Best hit)","B6TIJ3 (UniProt)","-","-","006-306-A06, J033114L12, 006-210-B11","-","AT3G07090.1","1","protein_coding","PPPDE putative thiol peptidase family protein","NULL","""PPPDE putative thiol peptidase family protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF862, eukaryotic (InterPro:IPR008580); BEST Arabidopsis thaliana protein match is: PPPDE putative thiol peptidase family protein (TAIR:AT5G25170.1)""","-","PPPDE putative thiol peptidase family protein","-","-","-","PPPDE putative thiol peptidase family protein%3B CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF862%2C eukaryotic (InterPro:IPR008580)%3B BEST Arabidopsis thaliana protein match is: PPPDE putative thiol peptidase family protein (TAIR:AT5G25170.1)%3B Has 872 Blast hits to 872 proteins in 189 species: Archae - 0%3B Bacteria - 0%3B Metazoa - 235%3B Fungi - 119%3B Plants - 332%3B Viruses - 0%3B Other Eukaryotes - 186 (source: NCBI BLink).","""PMID:17085506,PMID:18252252,PMID:18775970,PMID:20736450,PMID:21443605,locus:2098560""","protein_coding","-","-","-","data"
"Os03t0113700-01","Os03g0113700","Similar to Heat shock 70 kDa protein, mitochondrial precursor.","-","-","ISC24","IRON-SULFUR CLUSTER PROTEIN 24","OsISC24","Iron-sulfur cluster protein 24","Biological Process: protein folding (GO:0006457), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)","Heat shock protein Hsp70 (IPR001023), Chaperone DnaK (IPR012725), Heat shock protein 70 (IPR013126), Heat shock protein 70, conserved site (IPR018181)","AK103835 (DDBJ, Best hit)","NP_001151739.1 (RefSeq)","-","-","J033148E17","13436","AT5G09590.1","1","protein_coding","mitochondrial HSO70 2","heat shock protein 70 (Hsc70-5); nuclear","""mitochondrial HSO70 2 (MTHSC70-2); FUNCTIONS IN: ATP binding; INVOLVED IN: protein folding, response to cadmium ion, response to salt stress, response to virus, response to heat; LOCATED IN: mitochondrion, cell wall, plasma membrane, chloroplast, mitochondrial matrix; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 16 growth stages; CONTAINS InterPro DOMAIN/s: Heat shock protein 70, conserved site (InterPro:IPR018181), Chaperone DnaK (InterPro:IPR012725), Heat shock protein Hsp70 (InterPro:IPR001023), Heat shock protein 70 (InterPro:IPR013126); BEST Arabidopsis thaliana protein match is: mitochondrial heat shock protein 70-1 (TAIR:AT4G37910.1)""","""HSC70-5,MTHSC70-2""","mitochondrial HSO70 2","MTHSC70-2","""HSC70-5,HEAT SHOCK COGNATE""","mitochondrial HSO70 2","mitochondrial HSO70 2 (MTHSC70-2)%3B FUNCTIONS IN: ATP binding%3B INVOLVED IN: protein folding%2C response to cadmium ion%2C response to salt stress%2C response to virus%2C response to heat%3B LOCATED IN: mitochondrion%2C cell wall%2C plasma membrane%2C chloroplast%2C mitochondrial matrix%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 16 growth stages%3B CONTAINS InterPro DOMAIN/s: Heat shock protein 70%2C conserved site (InterPro:IPR018181)%2C Chaperone DnaK (InterPro:IPR012725)%2C Heat shock protein Hsp70 (InterPro:IPR001023)%2C Heat shock protein 70 (InterPro:IPR013126)%3B BEST Arabidopsis thaliana protein match is: mitochondrial heat shock protein 70-1 (TAIR:AT4G37910.1)%3B Has 35090 Blast hits to 34955 proteins in 4871 species: Archae - 160%3B Bacteria - 17405%3B Metazoa - 3531%3B Fungi - 1665%3B Plants - 1246%3B Viruses - 305%3B Other Eukaryotes - 10778 (source: NCBI BLink).","""PMID:9839462,PMID:8706819,PMID:11743115,PMID:11743114,PMID:11402207,PMID:12433921,PMID:14671022,PMID:14749482,PMID:15805473,PMID:15998247,PMID:18650403,PMID:18775970,PMID:20118269,PMID:22841711,PMID:25462017,locus:2144801""","protein_coding","heat shock protein 70 (Hsc70-5)%3B nuclear","-","-","data"
"Os03t0237500-01","Os03g0237500","Similar to predicted protein.","-","-","-","-","-","-","-","Protein of unknown function DUF775 (IPR008493)","AK058844 (DDBJ, Best hit)","Q10PE1 (UniProt)","-","-","001-004-F11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","data"
"Os03t0265600-01","Os03g0265600","Similar to Transformer-2-like protein.","-","-","-","-","-","-","Molecular Function: nucleotide binding (GO:0000166), Molecular Function: nucleic acid binding (GO:0003676)","RNA recognition motif domain (IPR000504), Nucleotide-binding, alpha-beta plait (IPR012677)","AK065578 (DDBJ, Best hit)","Q10NM2 (UniProt)","-","-","J013026M08","-","AT1G07350.4","2","protein_coding","RNA-binding (RRM/RBD/RNP motifs) family protein","""Encodes a serine/arginine rich-like protein, SR45a. Involved in the regulation of stress-responsive alternative splicing.""","""RNA-binding (RRM/RBD/RNP motifs) family protein; FUNCTIONS IN: RNA binding, nucleotide binding, nucleic acid binding; INVOLVED IN: RNA splicing; EXPRESSED IN: 26 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: RNA recognition motif, RNP-1 (InterPro:IPR000504), Nucleotide-binding, alpha-beta plait (InterPro:IPR012677); BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT4G35785.1)""","SR45a","RNA-binding (RRM/RBD/RNP motifs) family protein","SR45a","-","serine/arginine rich-like protein 45a","RNA-binding (RRM/RBD/RNP motifs) family protein%3B FUNCTIONS IN: RNA binding%2C nucleotide binding%2C nucleic acid binding%3B INVOLVED IN: RNA splicing%3B EXPRESSED IN: 26 plant structures%3B EXPRESSED DURING: 15 growth stages%3B CONTAINS InterPro DOMAIN/s: RNA recognition motif%2C RNP-1 (InterPro:IPR000504)%2C Nucleotide-binding%2C alpha-beta plait (InterPro:IPR012677)%3B BEST Arabidopsis thaliana protein match is: RNA-binding (RRM/RBD/RNP motifs) family protein (TAIR:AT4G35785.1)%3B Has 998067 Blast hits to 992400 proteins in 35925 species: Archae - 21556%3B Bacteria - 596698%3B Metazoa - 207042%3B Fungi - 24534%3B Plants - 55970%3B Viruses - 68919%3B Other Eukaryotes - 23348 (source: NCBI BLink).","""PMID:14576160,PMID:15047901,PMID:16632598,PMID:16807317,PMID:17556373,PMID:18218973,PMID:18252252,PMID:18402682,PMID:18650403,PMID:18775970,PMID:20736450,PMID:21862516,PMID:22291167,PMID:23132568,PMID:25268622,locus:2025092""","protein_coding","Encodes a serine/arginine rich-like protein%2C SR45a. Involved in the regulation of stress-responsive alternative splicing.","-","-","data"
"Os03t0266300-01","Os03g0266300","Class I low-molecular-weight heat shock protein 17.9.","-","-","HSP17.9A","17.9 KDA CLASS I HEAT SHOCK PROTEIN 1","Oshsp17.9A, OsHsp17.9A, OsHSP17.9A-CI, Oshsp17.9","17.9 kDa class I heat shock protein, 17.9 kDa heat shock protein 1, 17.9-kD class I heat shock protein","-","Heat shock protein Hsp20 (IPR002068), HSP20-like chaperone (IPR008978)","AK104129 (DDBJ, Best hit)","Q84Q77 (UniProt)","-","-","006-203-F10","6167","AT3G46230.1","1","protein_coding","heat shock protein 17.4","""member of the class I small heat-shock protein (sHSP) family, which accounts for the majority of sHSPs in maturing seeds""","""heat shock protein 17.4 (HSP17.4); INVOLVED IN: response to heat; LOCATED IN: cellular_component unknown; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: M germinated pollen stage, LP.04 four leaves visible, 4 anthesis, C globular stage, petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Heat shock protein Hsp20 (InterPro:IPR002068), HSP20-like chaperone (InterPro:IPR008978); BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT1G53540.1)""","""ATHSP17.4,HSP17.4""","heat shock protein 17.4","HSP17.4","""ATHSP17.4,ARABIDOPSIS THALIANA HEAT SHOCK PROTEIN 17.4""","heat shock protein 17.4","heat shock protein 17.4 (HSP17.4)%3B INVOLVED IN: response to heat%3B LOCATED IN: cellular_component unknown%3B EXPRESSED IN: 15 plant structures%3B EXPRESSED DURING: M germinated pollen stage%2C LP.04 four leaves visible%2C 4 anthesis%2C C globular stage%2C petal differentiation and expansion stage%3B CONTAINS InterPro DOMAIN/s: Heat shock protein Hsp20 (InterPro:IPR002068)%2C HSP20-like chaperone (InterPro:IPR008978)%3B BEST Arabidopsis thaliana protein match is: HSP20-like chaperones superfamily protein (TAIR:AT1G53540.1)%3B Has 7056 Blast hits to 7055 proteins in 1590 species: Archae - 177%3B Bacteria - 4281%3B Metazoa - 88%3B Fungi - 291%3B Plants - 1609%3B Viruses - 0%3B Other Eukaryotes - 610 (source: NCBI BLink).","""PMID:10759505,PMID:8883386,PMID:2482931,PMID:12535341,PMID:12609051,PMID:14973164,PMID:14964527,PMID:15047901,PMID:15282545,PMID:15272873,PMID:16021335,PMID:16081496,PMID:16258017,PMID:16531488,PMID:16679420,PMID:16920880,PMID:16972866,PMID:17220197,PMID:17513503,PMID:18189342,PMID:18272919,PMID:18441212,PMID:18603616,PMID:18725200,PMID:18775970,locus:2075256""","protein_coding","member of the class I small heat-shock protein (sHSP) family%2C which accounts for the majority of sHSPs in maturing seeds","-","-","data"
